date,open,high,low,close,volume
1984-11-15,1.1416,1.1549,1.1416,1.1503,2473200
1984-11-16,1.1526,1.1570,1.1503,1.1526,2316000
1984-11-19,1.1526,1.1549,1.1461,1.1461,1629600
1984-11-20,1.1503,1.1570,1.1482,1.1570,1586400
1984-11-21,1.1570,1.1681,1.1549,1.1636,1113600
1984-11-23,1.1681,1.2012,1.1681,1.1968,1538400
1984-11-26,1.2012,1.2056,1.1946,1.1968,2275200
1984-11-27,1.1991,1.2100,1.1968,1.2033,2329200
1984-11-28,1.2033,1.2256,1.1991,1.1991,3546000
1984-11-29,1.1968,1.2012,1.1879,1.1900,2065200
1984-11-30,1.1879,1.1879,1.1768,1.1768,1332000
1984-12-03,1.1791,1.1835,1.1768,1.1814,1128000
1984-12-04,1.1768,1.1814,1.1747,1.1747,1030800
1984-12-05,1.1768,1.1791,1.1747,1.1747,1162800
1984-12-06,1.1747,1.1835,1.1747,1.1747,874800
1984-12-07,1.1726,1.1791,1.1703,1.1726,556800
1984-12-10,1.1726,1.1768,1.1658,1.1768,1146000
1984-12-11,1.1791,1.1835,1.1768,1.1814,698400
1984-12-12,1.1814,1.1835,1.1747,1.1768,1358400
1984-12-13,1.1726,1.1835,1.1726,1.1768,1278000
1984-12-14,1.1768,1.2012,1.1768,1.1968,1268400
1984-12-17,1.1968,1.2165,1.1968,1.2165,2233200
1984-12-18,1.2365,1.2542,1.2321,1.2521,3314400
1984-12-19,1.2498,1.2630,1.2498,1.2498,1642800
1984-12-20,1.2498,1.2586,1.2321,1.2344,1797600
1984-12-21,1.2344,1.2453,1.2344,1.2365,2408400
1984-12-24,1.2409,1.2476,1.2409,1.2430,973200
1984-12-26,1.2430,1.2453,1.2409,1.2453,362400
1984-12-27,1.2409,1.2430,1.2344,1.2409,607200
1984-12-28,1.2409,1.2430,1.2365,1.2386,788400
1984-12-31,1.2365,1.2542,1.2365,1.2498,5823600
1985-01-02,1.2498,1.2498,1.2453,1.2498,1622400
1985-01-03,1.2453,1.2521,1.2430,1.2453,7844400
1985-01-04,1.2188,1.2344,1.2165,1.2233,9086400
1985-01-07,1.2277,1.2277,1.2144,1.2144,7120800
1985-01-08,1.2144,1.2211,1.2121,1.2121,5701200
1985-01-09,1.2121,1.2165,1.2079,1.2121,12552000
1985-01-10,1.2100,1.2365,1.2079,1.2165,4622400
1985-01-11,1.2100,1.2165,1.2079,1.2144,1929600
1985-01-14,1.2121,1.2256,1.2121,1.2211,1942800
1985-01-15,1.2188,1.2256,1.2165,1.2233,2568000
1985-01-16,1.2233,1.2233,1.2165,1.2188,1566000
1985-01-17,1.2188,1.2211,1.2144,1.2144,1119600
1985-01-18,1.2144,1.2165,1.2100,1.2144,1104000
1985-01-21,1.2165,1.2211,1.2144,1.2188,952800
1985-01-22,1.2188,1.2211,1.2100,1.2144,2922000
1985-01-23,1.2100,1.2188,1.2100,1.2165,1471200
1985-01-24,1.2188,1.2256,1.2144,1.2165,3198000
1985-01-25,1.2188,1.2386,1.2165,1.2344,4237200
1985-01-28,1.2321,1.2586,1.2298,1.2476,2959200
1985-01-29,1.2476,1.2674,1.2453,1.2651,1737600
1985-01-30,1.2674,1.2960,1.2651,1.2807,2878800
1985-01-31,1.2763,1.2916,1.2741,1.2851,1771200
1985-02-01,1.2785,1.2851,1.2674,1.2718,949200
1985-02-04,1.2674,1.2785,1.2674,1.2763,1903200
1985-02-05,1.2763,1.2785,1.2674,1.2763,1940400
1985-02-06,1.2718,1.2874,1.2695,1.2785,2408400
1985-02-07,1.2828,1.2939,1.2828,1.2874,2059200
1985-02-08,1.2851,1.2916,1.2828,1.2874,2347200
1985-02-11,1.2874,1.2916,1.2851,1.2895,710400
1985-02-12,1.2916,1.3093,1.2916,1.3093,849600
1985-02-13,1.3093,1.3337,1.3072,1.3292,1926000
1985-02-14,1.3315,1.3337,1.3160,1.3181,1443600
1985-02-15,1.3160,1.3248,1.3160,1.3181,1422000
